Id
George Keith
Robert Barclay
Benjamin Furly
Anne Conway Viscountess Conway and Killultagh
Franciscus Mercurius van Helmont
William Penn
George Fox
George Whitehead
William Bradford
James Parnel
Stephen Crisp
Peter Collinson
John Bartram
James Logan
Joseph Wyeth
Thomas Ellwood
Dorcas Erbery
James Nayler
William Mucklow
William Dewsbury
Edward Burrough
John Crook
John Audland
John Camm
Francis Howgill
Edward Pyott
Charles Marshall
Anne Camm
Martha Simmonds
Richard Farnworth
William Crouch
Tace Sowle
William Rogers
Hannah Stranger
Isabel Yeamans
George Fox the younger
Margaret Fell
Ellis Hookes
William Mead
Elizabeth Hooten
Thomas Salthouse
John Wilkinson
William Coddington
John Stubbs
John Perrot
Leonard Fell
William Caton
Samuel Fisher
John Burnyeat
Thomas Camm
John Story
Solomon Eccles
Alexander Parker
Isaac Norris
John Swinton
David Barclay of Ury
Gervase Benson
Robert Rich
Anthony Pearson
Rebecca Travers
William Tomlinson
Anthony Sharp
Samuel Clarridge
Thomas Curtis
William Edmundson
William Ames
Mary Fisher
Mary Prince
Henry Pickworth
Francis Bugg
James Claypoole
Thomas Lower
William Gibson
Thomas Holme
David Lloyd
Edward Haistwell
John ap John
Gilbert Latey
Richard Hubberthorne
Joseph Besse
Richard Claridge
Samuel Bownas
John Whitehead
Daniel Quare
Silvanus Bevan
Alice Curwen
Thomas Lawson
John Penington
Mary Penington
Thomas Story
Jane Sowle
Elizabeth Leavens
Lewis Morris
Sir Charles Wager
William Simpson
Thomas Aldam
